id,name,address,phone,contactPerson,notes,isActive,createdAt,updatedAt
6,Keter Medical-Rosemont,"8000 nw 7th st suite 102 Miami, FL 33126",(305) 400-8005,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
7,Keter Medical-Next Dose,"8000 nw 7th st suite 102 Miami, FL 33126",(305) 400-8005,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
8,Glades-PRX-North Miami,"1 NE 167th St, North Miami Beach, FL 33162",(305) 432-9565,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
9,Glades-PRX-Coral Way,"1 NE 167th St, North Miami Beach, FL 33162",(305) 432-9565,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
10,Glades-PRX-Homestead,"1 NE 167th St, North Miami Beach, FL 33162",(305) 432-9565,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
11,Glades-PRX-Lakeland,"1 NE 167th St, North Miami Beach, FL 33162",(305) 432-9565,,,true,"""2026-06-20T21:37:42.055Z""","""2026-06-20T21:37:42.055Z"""
