id,userId,date,time,module,action,recordId,previousValue,newValue,ipAddress,createdAt,updatedAt
479,1,,,,BACKOFFICE_ROW_DELETE,,,,,"""2026-06-20T21:52:52.222Z""","""2026-06-20T21:52:52.222Z"""
480,1,2026-06-20,17:58:04,Authentication,Login,,,,::ffff:127.0.0.1,"""2026-06-20T21:58:04.731Z""","""2026-06-20T21:58:04.731Z"""
481,1,2026-06-20,18:00:27,Authentication,Login,,,,::ffff:127.0.0.1,"""2026-06-20T22:00:27.091Z""","""2026-06-20T22:00:27.091Z"""
482,1,2026-06-20,18:01:40,Authentication,Login,,,,::ffff:127.0.0.1,"""2026-06-20T22:01:40.291Z""","""2026-06-20T22:01:40.291Z"""
483,1,2026-06-20,18:17:38,Authentication,Logout,,,,::1,"""2026-06-20T22:17:38.149Z""","""2026-06-20T22:17:38.149Z"""
484,1,2026-06-20,18:28:52,Authentication,Login,,,,::ffff:127.0.0.1,"""2026-06-20T22:28:52.944Z""","""2026-06-20T22:28:52.944Z"""
